,timestamp,open,high,low,close,volume,symbol,OHLC4,VW_OHLC4,sum_19day,avg_20day
0,2023-09-01T00:00:00+05:30,4381.35,4399.0,4271.0,4291.45,164901,ABB,4335.7,71.5,,
1,2023-09-04T00:00:00+05:30,4300.0,4328.0,4245.25,4309.3,298303,ABB,4295.64,128.14,,
2,2023-09-05T00:00:00+05:30,4339.45,4450.0,4315.1,4440.8,306152,ABB,4386.34,134.29,,
3,2023-09-06T00:00:00+05:30,4469.9,4540.0,4443.05,4500.3,504897,ABB,4488.31,226.61,,
4,2023-09-07T00:00:00+05:30,4506.95,4507.0,4442.55,4448.6,193416,ABB,4476.27,86.58,,
5,2023-09-08T00:00:00+05:30,4464.9,4515.0,4435.0,4460.0,231272,ABB,4468.73,103.35,,
6,2023-09-11T00:00:00+05:30,4484.95,4678.0,4460.05,4618.85,684497,ABB,4560.46,312.16,,
7,2023-09-12T00:00:00+05:30,4641.9,4641.9,4384.0,4401.9,433279,ABB,4517.42,195.73,,
8,2023-09-13T00:00:00+05:30,4419.0,4423.2,4260.0,4341.1,362583,ABB,4360.83,158.12,,
9,2023-09-14T00:00:00+05:30,4360.05,4387.5,4316.3,4366.2,138301,ABB,4357.51,60.26,,
10,2023-09-15T00:00:00+05:30,4390.0,4396.9,4340.6,4379.4,223156,ABB,4376.73,97.67,,
11,2023-09-18T00:00:00+05:30,4377.0,4385.8,4305.7,4320.3,105351,ABB,4347.2,45.8,,
12,2023-09-20T00:00:00+05:30,4302.0,4427.9,4285.1,4329.05,275335,ABB,4336.01,119.39,,
13,2023-09-21T00:00:00+05:30,4345.0,4356.2,4260.0,4276.2,146287,ABB,4309.35,63.04,,
14,2023-09-22T00:00:00+05:30,4317.0,4317.0,4165.0,4187.0,250138,ABB,4246.5,106.22,,
15,2023-09-25T00:00:00+05:30,4219.3,4219.65,4123.0,4176.9,274277,ABB,4184.71,114.78,,
16,2023-09-26T00:00:00+05:30,4160.1,4223.0,4151.3,4205.2,179832,ABB,4184.9,75.26,,
17,2023-09-27T00:00:00+05:30,4225.0,4240.25,4168.8,4233.35,217834,ABB,4216.85,91.86,,
18,2023-09-28T00:00:00+05:30,4250.0,4250.0,4087.7,4101.7,259081,ABB,4172.35,108.1,2298.86,114.94
19,2023-09-29T00:00:00+05:30,4120.0,4147.95,4089.6,4098.25,270878,ABB,4113.95,111.44,2338.8,116.94
20,2023-10-03T00:00:00+05:30,4103.95,4149.95,4058.15,4091.95,303772,ABB,4101.0,124.58,2335.2400000000002,116.76
21,2023-09-01T00:00:00+05:30,23120.0,23237.55,22535.05,22704.65,18058,ABBOTINDIA,22899.31,41.35,,
22,2023-09-04T00:00:00+05:30,22898.6,22999.95,22320.05,22345.25,15081,ABBOTINDIA,22640.96,34.14,,
23,2023-09-05T00:00:00+05:30,22533.05,22899.0,22358.3,22810.0,25555,ABBOTINDIA,22650.09,57.88,,
24,2023-09-06T00:00:00+05:30,22900.3,23160.0,22754.2,23106.6,26456,ABBOTINDIA,22980.28,60.8,,
25,2023-09-07T00:00:00+05:30,23055.0,23189.9,22940.05,23000.0,12869,ABBOTINDIA,23046.24,29.66,,
26,2023-09-08T00:00:00+05:30,23029.95,23154.0,22800.05,23002.3,8725,ABBOTINDIA,22996.58,20.06,,
27,2023-09-11T00:00:00+05:30,23050.0,23135.55,22851.1,23029.05,8108,ABBOTINDIA,23016.42,18.66,,
28,2023-09-12T00:00:00+05:30,23029.0,23250.0,22746.3,22842.6,18817,ABBOTINDIA,22966.98,43.22,,
29,2023-09-13T00:00:00+05:30,22997.0,23050.0,22555.0,23017.0,15208,ABBOTINDIA,22904.75,34.83,,
30,2023-09-14T00:00:00+05:30,23141.35,23186.3,22860.05,23000.0,16366,ABBOTINDIA,23046.92,37.72,,
31,2023-09-15T00:00:00+05:30,22910.6,23645.95,22901.0,23290.0,22279,ABBOTINDIA,23186.89,51.66,,
32,2023-09-18T00:00:00+05:30,23351.15,23504.0,23116.05,23299.7,18594,ABBOTINDIA,23317.72,43.36,,
